Row ID,Column,Observation,Context Left,Match,Context Right
1,Comment for Q7,14,leadership is about professor has minimal experience to share and relate to topics discussed in class professor does not take students opinions under consideration and always possess the attitude of i am always rightbecause i have my phd attitude of,professor,created a toxic classroom environment when she does not respectstudents ideas and opinions 8 please comment on any assistance that was available to support your learning in thiscourse b commentthe professor made herself very available to help students with concerns
1,Comment for Q7,15,to share and relate to topics discussed in class professor does not take students opinions under consideration and always possess the attitude of i am always rightbecause i have my phd attitude of professor created a toxic classroom environment when,she,does not respectstudents ideas and opinions 8 please comment on any assistance that was available to support your learning in thiscourse b commentthe professor made herself very available to help students with concerns issues questions she was always available to
1,Comment for Q7,16,class professor does not take students opinions under consideration and always possess the attitude of i am always rightbecause i have my phd attitude of professor created a toxic classroom environment when she does not respectstudents ideas and opinions 8,please,comment on any assistance that was available to support your learning in thiscourse b commentthe professor made herself very available to help students with concerns issues questions she was always available to help students even outside scheduled office hours a
1,Comment for Q7,17,professor does not take students opinions under consideration and always possess the attitude of i am always rightbecause i have my phd attitude of professor created a toxic classroom environment when she does not respectstudents ideas and opinions 8 please,comment,on any assistance that was available to support your learning in thiscourse b commentthe professor made herself very available to help students with concerns issues questions she was always available to help students even outside scheduled office hours a better
1,Comment for Q7,18,take students opinions under consideration and always possess the attitude of i am always rightbecause i have my phd attitude of professor created a toxic classroom environment when she does not respectstudents ideas and opinions 8 please comment on any,assistance,that was available to support your learning in thiscourse b commentthe professor made herself very available to help students with concerns issues questions she was always available to help students even outside scheduled office hours a better professor that is
1,Comment for Q7,19,and always possess the attitude of i am always rightbecause i have my phd attitude of professor created a toxic classroom environment when she does not respectstudents ideas and opinions 8 please comment on any assistance that was available to,support,your learning in thiscourse b commentthe professor made herself very available to help students with concerns issues questions she was always available to help students even outside scheduled office hours a better professor that is more knowledgeable about course content
1,Comment for Q7,20,always possess the attitude of i am always rightbecause i have my phd attitude of professor created a toxic classroom environment when she does not respectstudents ideas and opinions 8 please comment on any assistance that was available to support,your,learning in thiscourse b commentthe professor made herself very available to help students with concerns issues questions she was always available to help students even outside scheduled office hours a better professor that is more knowledgeable about course content
1,Comment for Q7,21,possess the attitude of i am always rightbecause i have my phd attitude of professor created a toxic classroom environment when she does not respectstudents ideas and opinions 8 please comment on any assistance that was available to support your,learning,in thiscourse b commentthe professor made herself very available to help students with concerns issues questions she was always available to help students even outside scheduled office hours a better professor that is more knowledgeable about course content
1,Comment for Q8,22,am always rightbecause i have my phd attitude of professor created a toxic classroom environment when she does not respectstudents ideas and opinions 8 please comment on any assistance that was available to support your learning in thiscourse b commentthe,professor,made herself very available to help students with concerns issues questions she was always available to help students even outside scheduled office hours a better professor that is more knowledgeable about course content
1,Comment for Q8,23,rightbecause i have my phd attitude of professor created a toxic classroom environment when she does not respectstudents ideas and opinions 8 please comment on any assistance that was available to support your learning in thiscourse b commentthe professor made,herself,very available to help students with concerns issues questions she was always available to help students even outside scheduled office hours a better professor that is more knowledgeable about course content
1,Comment for Q8,24,phd attitude of professor created a toxic classroom environment when she does not respectstudents ideas and opinions 8 please comment on any assistance that was available to support your learning in thiscourse b commentthe professor made herself very available to,help,students with concerns issues questions she was always available to help students even outside scheduled office hours a better professor that is more knowledgeable about course content
1,Comment for Q8,25,attitude of professor created a toxic classroom environment when she does not respectstudents ideas and opinions 8 please comment on any assistance that was available to support your learning in thiscourse b commentthe professor made herself very available to help,students,with concerns issues questions she was always available to help students even outside scheduled office hours a better professor that is more knowledgeable about course content
1,Comment for Q8,26,toxic classroom environment when she does not respectstudents ideas and opinions 8 please comment on any assistance that was available to support your learning in thiscourse b commentthe professor made herself very available to help students with concerns issues questions,she,was always available to help students even outside scheduled office hours a better professor that is more knowledgeable about course content
1,Comment for Q8,27,does not respectstudents ideas and opinions 8 please comment on any assistance that was available to support your learning in thiscourse b commentthe professor made herself very available to help students with concerns issues questions she was always available to,help,students even outside scheduled office hours a better professor that is more knowledgeable about course content
1,Comment for Q8,28,not respectstudents ideas and opinions 8 please comment on any assistance that was available to support your learning in thiscourse b commentthe professor made herself very available to help students with concerns issues questions she was always available to help,students,even outside scheduled office hours a better professor that is more knowledgeable about course content
1,Comment for Q8,29,on any assistance that was available to support your learning in thiscourse b commentthe professor made herself very available to help students with concerns issues questions she was always available to help students even outside scheduled office hours a better,professor,that is more knowledgeable about course content
2,Comment for Q7,1,b the,professor,taught the subject very well but when it came to assignments she was never really clear about exactlywhat she wanted from us so we had to do some guesswork about the requirements no problems with instruction had to do outside reading for
2,Comment for Q7,2,b the professor taught the subject very well but when it came to assignments,she,was never really clear about exactlywhat she wanted from us so we had to do some guesswork about the requirements no problems with instruction had to do outside reading for the exam in order to do okgood professor allowed dialogue to flow
2,Comment for Q7,3,b the professor taught the subject very well but when it came to assignments she was never really clear about exactlywhat,she,wanted from us so we had to do some guesswork about the requirements no problems with instruction had to do outside reading for the exam in order to do okgood professor allowed dialogue to flow in class and allowed discussion clarified questions
2,Comment for Q7,4,b the professor taught the subject very well but when it came to assignments she was never really clear about exactlywhat she wanted from,us,so we had to do some guesswork about the requirements no problems with instruction had to do outside reading for the exam in order to do okgood professor allowed dialogue to flow in class and allowed discussion clarified questions about the material
2,Comment for Q7,5,b the professor taught the subject very well but when it came to assignments she was never really clear about exactlywhat she wanted from us so,we,had to do some guesswork about the requirements no problems with instruction had to do outside reading for the exam in order to do okgood professor allowed dialogue to flow in class and allowed discussion clarified questions about the material andwas able
2,Comment for Q7,6,b the professor taught the subject very well but when it came to assignments she was never really clear about exactlywhat she wanted from us so we had to do some guesswork about the requirements no problems with,instruction,had to do outside reading for the exam in order to do okgood professor allowed dialogue to flow in class and allowed discussion clarified questions about the material andwas able to give real life situations8 please comment on any assistance that
2,Comment for Q7,7,it came to assignments she was never really clear about exactlywhat she wanted from us so we had to do some guesswork about the requirements no problems with instruction had to do outside reading for the exam in order to do okgood,professor,allowed dialogue to flow in class and allowed discussion clarified questions about the material andwas able to give real life situations8 please comment on any assistance that was available to support your learning in thiscourse b commentshe had office hours
2,Comment for Q7,8,came to assignments she was never really clear about exactlywhat she wanted from us so we had to do some guesswork about the requirements no problems with instruction had to do outside reading for the exam in order to do okgood professor,allowed,dialogue to flow in class and allowed discussion clarified questions about the material andwas able to give real life situations8 please comment on any assistance that was available to support your learning in thiscourse b commentshe had office hours and
2,Comment for Q7,9,to assignments she was never really clear about exactlywhat she wanted from us so we had to do some guesswork about the requirements no problems with instruction had to do outside reading for the exam in order to do okgood professor allowed,dialogue,to flow in class and allowed discussion clarified questions about the material andwas able to give real life situations8 please comment on any assistance that was available to support your learning in thiscourse b commentshe had office hours and was
2,Comment for Q7,10,clear about exactlywhat she wanted from us so we had to do some guesswork about the requirements no problems with instruction had to do outside reading for the exam in order to do okgood professor allowed dialogue to flow in class and,allowed,discussion clarified questions about the material andwas able to give real life situations8 please comment on any assistance that was available to support your learning in thiscourse b commentshe had office hours and was available via email or skype
2,Comment for Q7,11,about exactlywhat she wanted from us so we had to do some guesswork about the requirements no problems with instruction had to do outside reading for the exam in order to do okgood professor allowed dialogue to flow in class and allowed,discussion,clarified questions about the material andwas able to give real life situations8 please comment on any assistance that was available to support your learning in thiscourse b commentshe had office hours and was available via email or skype
2,Comment for Q7,12,exactlywhat she wanted from us so we had to do some guesswork about the requirements no problems with instruction had to do outside reading for the exam in order to do okgood professor allowed dialogue to flow in class and allowed discussion,clarified,questions about the material andwas able to give real life situations8 please comment on any assistance that was available to support your learning in thiscourse b commentshe had office hours and was available via email or skype
2,Comment for Q7,13,do some guesswork about the requirements no problems with instruction had to do outside reading for the exam in order to do okgood professor allowed dialogue to flow in class and allowed discussion clarified questions about the material andwas able to,give,real life situations8 please comment on any assistance that was available to support your learning in thiscourse b commentshe had office hours and was available via email or skype
2,Comment for Q7,14,guesswork about the requirements no problems with instruction had to do outside reading for the exam in order to do okgood professor allowed dialogue to flow in class and allowed discussion clarified questions about the material andwas able to give real,life,situations8 please comment on any assistance that was available to support your learning in thiscourse b commentshe had office hours and was available via email or skype
2,Comment for Q7,15,the requirements no problems with instruction had to do outside reading for the exam in order to do okgood professor allowed dialogue to flow in class and allowed discussion clarified questions about the material andwas able to give real life situations8,please,comment on any assistance that was available to support your learning in thiscourse b commentshe had office hours and was available via email or skype
2,Comment for Q7,16,requirements no problems with instruction had to do outside reading for the exam in order to do okgood professor allowed dialogue to flow in class and allowed discussion clarified questions about the material andwas able to give real life situations8 please,comment,on any assistance that was available to support your learning in thiscourse b commentshe had office hours and was available via email or skype
2,Comment for Q7,17,with instruction had to do outside reading for the exam in order to do okgood professor allowed dialogue to flow in class and allowed discussion clarified questions about the material andwas able to give real life situations8 please comment on any,assistance,that was available to support your learning in thiscourse b commentshe had office hours and was available via email or skype
2,Comment for Q7,18,reading for the exam in order to do okgood professor allowed dialogue to flow in class and allowed discussion clarified questions about the material andwas able to give real life situations8 please comment on any assistance that was available to,support,your learning in thiscourse b commentshe had office hours and was available via email or skype
2,Comment for Q7,19,for the exam in order to do okgood professor allowed dialogue to flow in class and allowed discussion clarified questions about the material andwas able to give real life situations8 please comment on any assistance that was available to support,your,learning in thiscourse b commentshe had office hours and was available via email or skype
2,Comment for Q7,20,the exam in order to do okgood professor allowed dialogue to flow in class and allowed discussion clarified questions about the material andwas able to give real life situations8 please comment on any assistance that was available to support your,learning,in thiscourse b commentshe had office hours and was available via email or skype
2,Comment for Q8,21,in class and allowed discussion clarified questions about the material andwas able to give real life situations8 please comment on any assistance that was available to support your learning in thiscourse b commentshe had office hours and was available via,email,or skype
3,Comment for Q7,1,b satisfactoryprofessor radhakrishnan taught the course with weekly exercises and,role,plays this was a very interesting course that taught me a lot of practical skills despite it being in a university setting excellentthe lectures were interesting i liked the interactive aspect of the courseincluded a lot of participation with added to the learning8 please
3,Comment for Q7,2,the course with weekly exercises and role plays this was a very interesting course that taught me a lot of practical skills despite it being in a university setting excellentthe lectures were interesting i liked the interactive aspect of the courseincluded a lot of,participation,with added to the learning8 please comment on any assistance that was available to support your learning in thiscourse b commentsatisfactoryoffice hours
3,Comment for Q7,3,role plays this was a very interesting course that taught me a lot of practical skills despite it being in a university setting excellentthe lectures were interesting i liked the interactive aspect of the courseincluded a lot of participation with added to the learning8,please,comment on any assistance that was available to support your learning in thiscourse b commentsatisfactoryoffice hours
3,Comment for Q7,4,plays this was a very interesting course that taught me a lot of practical skills despite it being in a university setting excellentthe lectures were interesting i liked the interactive aspect of the courseincluded a lot of participation with added to the learning8 please,comment,on any assistance that was available to support your learning in thiscourse b commentsatisfactoryoffice hours
3,Comment for Q7,5,a very interesting course that taught me a lot of practical skills despite it being in a university setting excellentthe lectures were interesting i liked the interactive aspect of the courseincluded a lot of participation with added to the learning8 please comment on any,assistance,that was available to support your learning in thiscourse b commentsatisfactoryoffice hours
3,Comment for Q7,6,taught me a lot of practical skills despite it being in a university setting excellentthe lectures were interesting i liked the interactive aspect of the courseincluded a lot of participation with added to the learning8 please comment on any assistance that was available to,support,your learning in thiscourse b commentsatisfactoryoffice hours
3,Comment for Q7,7,me a lot of practical skills despite it being in a university setting excellentthe lectures were interesting i liked the interactive aspect of the courseincluded a lot of participation with added to the learning8 please comment on any assistance that was available to support,your,learning in thiscourse b commentsatisfactoryoffice hours
3,Comment for Q7,8,a lot of practical skills despite it being in a university setting excellentthe lectures were interesting i liked the interactive aspect of the courseincluded a lot of participation with added to the learning8 please comment on any assistance that was available to support your,learning,in thiscourse b commentsatisfactoryoffice hours
4,Comment for Q7,1,b excellent i found that the,role,plays were very stimulating and fun to do it was an interesting way to learn the course materials i went to all the lectures without knowing what i have learnt the way the professor radharishnan taught was toovague we have
4,Comment for Q7,2,b excellent i found that the role plays were very stimulating and fun to do it was an interesting way to,learn,the course materials i went to all the lectures without knowing what i have learnt the way the professor radharishnan taught was toovague we have a lot of role-plays but i can't really learn things from those role-play exercises a lot of my classmatesshared the
4,Comment for Q7,3,b excellent i found that the role plays were very stimulating and fun to do it was an interesting way to learn the course materials i went to all the lectures without knowing what i have,learnt,the way the professor radharishnan taught was toovague we have a lot of role-plays but i can't really learn things from those role-play exercises a lot of my classmatesshared the same feeling as me we don't know what we have learnt in this course for
4,Comment for Q7,4,b excellent i found that the role plays were very stimulating and fun to do it was an interesting way to learn the course materials i went to all the lectures without knowing what i have learnt the way the,professor,radharishnan taught was toovague we have a lot of role-plays but i can't really learn things from those role-play exercises a lot of my classmatesshared the same feeling as me we don't know what we have learnt in this course for example prof taught theinter-and
4,Comment for Q7,5,the role plays were very stimulating and fun to do it was an interesting way to learn the course materials i went to all the lectures without knowing what i have learnt the way the professor radharishnan taught was toovague,we,have a lot of role-plays but i can't really learn things from those role-play exercises a lot of my classmatesshared the same feeling as me we don't know what we have learnt in this course for example prof taught theinter-and intra-personal skills and we did
4,Comment for Q7,6,fun to do it was an interesting way to learn the course materials i went to all the lectures without knowing what i have learnt the way the professor radharishnan taught was toovague we have a lot of role-plays but i can't really,learn,things from those role-play exercises a lot of my classmatesshared the same feeling as me we don't know what we have learnt in this course for example prof taught theinter-and intra-personal skills and we did assignments about those skills however i think
4,Comment for Q7,7,to learn the course materials i went to all the lectures without knowing what i have learnt the way the professor radharishnan taught was toovague we have a lot of role-plays but i can't really learn things from those role-play exercises a lot of my,classmatesshared,the same feeling as me we don't know what we have learnt in this course for example prof taught theinter-and intra-personal skills and we did assignments about those skills however i think these assignments areuseless and won't help me on
4,Comment for Q7,8,went to all the lectures without knowing what i have learnt the way the professor radharishnan taught was toovague we have a lot of role-plays but i can't really learn things from those role-play exercises a lot of my classmatesshared the same feeling as me,we,don't know what we have learnt in this course for example prof taught theinter-and intra-personal skills and we did assignments about those skills however i think these assignments areuseless and won't help me on my leadership skill a lot of us indeed
4,Comment for Q7,9,lectures without knowing what i have learnt the way the professor radharishnan taught was toovague we have a lot of role-plays but i can't really learn things from those role-play exercises a lot of my classmatesshared the same feeling as me we don't know what,we,have learnt in this course for example prof taught theinter-and intra-personal skills and we did assignments about those skills however i think these assignments areuseless and won't help me on my leadership skill a lot of us indeed submitted the assignments but
4,Comment for Q7,10,knowing what i have learnt the way the professor radharishnan taught was toovague we have a lot of role-plays but i can't really learn things from those role-play exercises a lot of my classmatesshared the same feeling as me we don't know what we have,learnt,in this course for example prof taught theinter-and intra-personal skills and we did assignments about those skills however i think these assignments areuseless and won't help me on my leadership skill a lot of us indeed submitted the assignments but we think
4,Comment for Q7,11,way the professor radharishnan taught was toovague we have a lot of role-plays but i can't really learn things from those role-play exercises a lot of my classmatesshared the same feeling as me we don't know what we have learnt in this course for example,prof,taught theinter-and intra-personal skills and we did assignments about those skills however i think these assignments areuseless and won't help me on my leadership skill a lot of us indeed submitted the assignments but we think theassignments are so useless and are
4,Comment for Q7,12,toovague we have a lot of role-plays but i can't really learn things from those role-play exercises a lot of my classmatesshared the same feeling as me we don't know what we have learnt in this course for example prof taught theinter-and intra-personal skills and,we,did assignments about those skills however i think these assignments areuseless and won't help me on my leadership skill a lot of us indeed submitted the assignments but we think theassignments are so useless and are waste of time 8 please comment
4,Comment for Q7,13,a lot of my classmatesshared the same feeling as me we don't know what we have learnt in this course for example prof taught theinter-and intra-personal skills and we did assignments about those skills however i think these assignments areuseless and won't,help,me on my leadership skill a lot of us indeed submitted the assignments but we think theassignments are so useless and are waste of time 8 please comment on any assistance that was available to support your learning inthis course b commentregarding
4,Comment for Q7,14,same feeling as me we don't know what we have learnt in this course for example prof taught theinter-and intra-personal skills and we did assignments about those skills however i think these assignments areuseless and won't help me on my,leadership,skill a lot of us indeed submitted the assignments but we think theassignments are so useless and are waste of time 8 please comment on any assistance that was available to support your learning inthis course b commentregarding the assignments i would
4,Comment for Q7,15,me we don't know what we have learnt in this course for example prof taught theinter-and intra-personal skills and we did assignments about those skills however i think these assignments areuseless and won't help me on my leadership skill a lot of,us,indeed submitted the assignments but we think theassignments are so useless and are waste of time 8 please comment on any assistance that was available to support your learning inthis course b commentregarding the assignments i would suggest moving the
4,Comment for Q7,16,have learnt in this course for example prof taught theinter-and intra-personal skills and we did assignments about those skills however i think these assignments areuseless and won't help me on my leadership skill a lot of us indeed submitted the assignments but,we,think theassignments are so useless and are waste of time 8 please comment on any assistance that was available to support your learning inthis course b commentregarding the assignments i would suggest moving the finance lab class for assignment 2
4,Comment for Q7,17,for example prof taught theinter-and intra-personal skills and we did assignments about those skills however i think these assignments areuseless and won't help me on my leadership skill a lot of us indeed submitted the assignments but we think theassignments are so,useless,and are waste of time 8 please comment on any assistance that was available to support your learning inthis course b commentregarding the assignments i would suggest moving the finance lab class for assignment 2 to two weeks beforethe assignment
4,Comment for Q7,18,and we did assignments about those skills however i think these assignments areuseless and won't help me on my leadership skill a lot of us indeed submitted the assignments but we think theassignments are so useless and are waste of time 8,please,comment on any assistance that was available to support your learning inthis course b commentregarding the assignments i would suggest moving the finance lab class for assignment 2 to two weeks beforethe assignment due date rather than the week before it
4,Comment for Q7,19,we did assignments about those skills however i think these assignments areuseless and won't help me on my leadership skill a lot of us indeed submitted the assignments but we think theassignments are so useless and are waste of time 8 please,comment,on any assistance that was available to support your learning inthis course b commentregarding the assignments i would suggest moving the finance lab class for assignment 2 to two weeks beforethe assignment due date rather than the week before it can
4,Comment for Q7,20,about those skills however i think these assignments areuseless and won't help me on my leadership skill a lot of us indeed submitted the assignments but we think theassignments are so useless and are waste of time 8 please comment on any,assistance,that was available to support your learning inthis course b commentregarding the assignments i would suggest moving the finance lab class for assignment 2 to two weeks beforethe assignment due date rather than the week before it can provide students with
4,Comment for Q7,21,think these assignments areuseless and won't help me on my leadership skill a lot of us indeed submitted the assignments but we think theassignments are so useless and are waste of time 8 please comment on any assistance that was available to,support,your learning inthis course b commentregarding the assignments i would suggest moving the finance lab class for assignment 2 to two weeks beforethe assignment due date rather than the week before it can provide students with more time to ask questions
4,Comment for Q7,22,these assignments areuseless and won't help me on my leadership skill a lot of us indeed submitted the assignments but we think theassignments are so useless and are waste of time 8 please comment on any assistance that was available to support,your,learning inthis course b commentregarding the assignments i would suggest moving the finance lab class for assignment 2 to two weeks beforethe assignment due date rather than the week before it can provide students with more time to ask questions research
4,Comment for Q7,23,assignments areuseless and won't help me on my leadership skill a lot of us indeed submitted the assignments but we think theassignments are so useless and are waste of time 8 please comment on any assistance that was available to support your,learning,inthis course b commentregarding the assignments i would suggest moving the finance lab class for assignment 2 to two weeks beforethe assignment due date rather than the week before it can provide students with more time to ask questions research more
4,Comment for Q8,24,skill a lot of us indeed submitted the assignments but we think theassignments are so useless and are waste of time 8 please comment on any assistance that was available to support your learning inthis course b commentregarding the assignments i would,suggest,moving the finance lab class for assignment 2 to two weeks beforethe assignment due date rather than the week before it can provide students with more time to ask questions research more edit their work
4,Comment for Q8,25,on any assistance that was available to support your learning inthis course b commentregarding the assignments i would suggest moving the finance lab class for assignment 2 to two weeks beforethe assignment due date rather than the week before it can,provide,students with more time to ask questions research more edit their work
4,Comment for Q8,26,any assistance that was available to support your learning inthis course b commentregarding the assignments i would suggest moving the finance lab class for assignment 2 to two weeks beforethe assignment due date rather than the week before it can provide,students,with more time to ask questions research more edit their work
4,Comment for Q8,27,to support your learning inthis course b commentregarding the assignments i would suggest moving the finance lab class for assignment 2 to two weeks beforethe assignment due date rather than the week before it can provide students with more time to,ask,questions research more edit their work
4,Comment for Q8,28,course b commentregarding the assignments i would suggest moving the finance lab class for assignment 2 to two weeks beforethe assignment due date rather than the week before it can provide students with more time to ask questions research more edit,their,work
5,Comment for Q7,1,b the course was not entirely,helpful,classes were vague as the professor did not go over the outlined class material the professor should conveyed material in a more understanding way that is also applicable to real life settings i think the simulations are very engaging but
5,Comment for Q7,2,b the course was not entirely helpful classes were vague as the,professor,did not go over the outlined class material the professor should conveyed material in a more understanding way that is also applicable to real life settings i think the simulations are very engaging but i felt they didn't really cover the
5,Comment for Q7,3,b the course was not entirely helpful classes were vague as the professor did not go over the outlined class material the,professor,should conveyed material in a more understanding way that is also applicable to real life settings i think the simulations are very engaging but i felt they didn't really cover the course content so i think it is unfair to half
5,Comment for Q7,4,b the course was not entirely helpful classes were vague as the professor did not go over the outlined class material the professor should,conveyed,material in a more understanding way that is also applicable to real life settings i think the simulations are very engaging but i felt they didn't really cover the course content so i think it is unfair to half tothen learn
5,Comment for Q7,5,b the course was not entirely helpful classes were vague as the professor did not go over the outlined class material the professor should conveyed material in a more understanding way that is also applicable to real,life,settings i think the simulations are very engaging but i felt they didn't really cover the course content so i think it is unfair to half tothen learn the course content on my own time after spending all that time preparing
5,Comment for Q7,6,vague as the professor did not go over the outlined class material the professor should conveyed material in a more understanding way that is also applicable to real life settings i think the simulations are very engaging but i felt,they,didn't really cover the course content so i think it is unfair to half tothen learn the course content on my own time after spending all that time preparing for the simulationsthe quality of instruction was good however it would have
5,Comment for Q7,7,material the professor should conveyed material in a more understanding way that is also applicable to real life settings i think the simulations are very engaging but i felt they didn't really cover the course content so i think it is,unfair,to half tothen learn the course content on my own time after spending all that time preparing for the simulationsthe quality of instruction was good however it would have been helpful if the professor lectured us on material that wastested
5,Comment for Q7,8,conveyed material in a more understanding way that is also applicable to real life settings i think the simulations are very engaging but i felt they didn't really cover the course content so i think it is unfair to half tothen,learn,the course content on my own time after spending all that time preparing for the simulationsthe quality of instruction was good however it would have been helpful if the professor lectured us on material that wastested for the exams the
5,Comment for Q7,9,are very engaging but i felt they didn't really cover the course content so i think it is unfair to half tothen learn the course content on my own time after spending all that time preparing for the simulationsthe quality of,instruction,was good however it would have been helpful if the professor lectured us on material that wastested for the exams the classroom material was quite dense and it would have been nice if we were tested on thematerial that we
5,Comment for Q7,10,cover the course content so i think it is unfair to half tothen learn the course content on my own time after spending all that time preparing for the simulationsthe quality of instruction was good however it would have been,helpful,if the professor lectured us on material that wastested for the exams the classroom material was quite dense and it would have been nice if we were tested on thematerial that we applied in class rather than requiring us to memorize
5,Comment for Q7,11,content so i think it is unfair to half tothen learn the course content on my own time after spending all that time preparing for the simulationsthe quality of instruction was good however it would have been helpful if the,professor,lectured us on material that wastested for the exams the classroom material was quite dense and it would have been nice if we were tested on thematerial that we applied in class rather than requiring us to memorize and look for material
5,Comment for Q7,12,i think it is unfair to half tothen learn the course content on my own time after spending all that time preparing for the simulationsthe quality of instruction was good however it would have been helpful if the professor lectured,us,on material that wastested for the exams the classroom material was quite dense and it would have been nice if we were tested on thematerial that we applied in class rather than requiring us to memorize and look for material otherwise it
5,Comment for Q7,13,preparing for the simulationsthe quality of instruction was good however it would have been helpful if the professor lectured us on material that wastested for the exams the classroom material was quite dense and it would have been nice if,we,were tested on thematerial that we applied in class rather than requiring us to memorize and look for material otherwise it was a greatlearning experience as far as the exercises were concerned 8 please comment on any assistance that was available to
